Video,Video title,Video publish time,Watch time (hours),Shares,Dislikes,Likes,Comments added,Views,Subscribers
BcIt1HsyKYs,v8.7: Como escolher tecnologias para seus estudos?,"Sep 17, 2020","4,7",1,0,9,0,124,3
r0QKvtYq8Tw,v9.0: Quais são os novos perfis dos profissionais de TI?,"Aug 2, 2020","38,1",2,2,33,7,614,9
Vxvsf050kBI,v9.1: Não seja um apertador de parafuso da TI?,"Aug 22, 2020","4,5",2,1,10,0,451,5
7hNoFXiUkrc,v9.2: Quais são os cargos de TI que você não deve mais trabalhar?,"Aug 29, 2020","11,2",1,2,21,0,517,6
7JnjYEpY8bM,v9.3: Funções do presente e futuro da TI?,"Sep 5, 2020","4,2",1,0,10,2,421,4
D8_JS3VOfZI,v9.3.1: É possível ser full stack?,"Sep 14, 2020","2,2",0,0,10,1,197,1
AmpMiZ3DDjs,v9.4: Porque o mercado de TI está mudando?,"Sep 12, 2020","6,9",3,3,16,2,416,5
UfPeg3mxLx0,v9.4.1: Essas empresas de TI vão quebrar!,"Sep 21, 2020","1,1",0,0,9,1,93,0
jHuhZI1LTDs,v9.5: O que faz o profissional de negócio na TI?,"Sep 19, 2020","0,9",0,0,2,0,123,0
vew2nxYop7w,v9.5.1: Quais são os três pilares da nova TI?,"Sep 28, 2020","0,8",0,0,6,0,94,1
OCEsP8Oyla4,v9.6: O que faz o profissional de software na TI?,"Sep 26, 2020","1,4",0,0,12,2,78,1
Dns9mgCIeSY,v9.8: Quais são as habilidades do presente e futuro da TI?,"Jan 1, 1970","0,0",0,0,0,0,0,0
4hWNM8iptIc,v9.9.1: O mundo vai mudar e a TI é parte da solução!,"Jan 1, 1970","0,0",0,0,0,0,3,0
IDI9E-zapPo,v9.9.2: Esqueça o nome do cargos da TI!,"Jan 1, 1970","0,0",0,0,0,0,0,0
